date,Value
2024-01-01 00:00:00,1462.114038
2024-01-01 00:15:00,1416.587069
2024-01-01 00:30:00,1362.101986
2024-01-01 00:45:00,1397.796956
2024-01-01 01:00:00,1432.788135
2024-01-01 01:15:00,1385.205851
2024-01-01 01:30:00,1380.055965
2024-01-01 01:45:00,1421.812248
2024-01-01 02:00:00,1394.96731
2024-01-01 02:15:00,1341.129386
2024-01-01 02:30:00,1397.26001
2024-01-01 02:45:00,1408.1455
2024-01-01 03:00:00,1392.129712
2024-01-01 03:15:00,1330.181901
2024-01-01 03:30:00,1425.978117
2024-01-01 03:45:00,1353.554915
2024-01-01 04:00:00,1405.898633
2024-01-01 04:15:00,1343.619792
2024-01-01 04:30:00,1352.991219
2024-01-01 04:45:00,1353.238102
2024-01-01 05:00:00,1425.558504
2024-01-01 05:15:00,1367.595662
2024-01-01 05:30:00,1322.276066
2024-01-01 05:45:00,1285.010376
2024-01-01 06:00:00,1343.404932
2024-01-01 06:15:00,1335.531803
2024-01-01 06:30:00,1347.498739
2024-01-01 06:45:00,1340.123226
2024-01-01 07:00:00,1398.652547
2024-01-01 07:15:00,1408.699748
2024-01-01 07:30:00,1455.280273
2024-01-01 07:45:00,1476.924512
2024-01-01 08:00:00,1515.967188
2024-01-01 08:15:00,1472.742261
2024-01-01 08:30:00,1436.73693
2024-01-01 08:45:00,1465.978971
2024-01-01 09:00:00,1420.790894
2024-01-01 09:15:00,1418.000594
2024-01-01 09:30:00,1385.395011
2024-01-01 09:45:00,1492.988013
2024-01-01 10:00:00,1502.183496
2024-01-01 10:15:00,1424.903564
2024-01-01 10:30:00,1373.003117
2024-01-01 10:45:00,1524.680347
2024-01-01 11:00:00,1487.298145
2024-01-01 11:15:00,1409.988566
2024-01-01 11:30:00,1464.078768
2024-01-01 11:45:00,1608.455965
2024-01-01 12:00:00,1789.742277
2024-01-01 12:15:00,1863.064193
2024-01-01 12:30:00,1883.233122
2024-01-01 12:45:00,1824.825895
2024-01-01 13:00:00,1721.909277
2024-01-01 13:15:00,1649.591268
2024-01-01 13:30:00,1676.031665
2024-01-01 13:45:00,1552.885628
2024-01-01 14:00:00,1442.151147
2024-01-01 14:15:00,1402.708634
2024-01-01 14:30:00,1418.34786
2024-01-01 14:45:00,1490.074316
2024-01-01 15:00:00,1424.516488
2024-01-01 15:15:00,1425.693872
2024-01-01 15:30:00,1399.993042
2024-01-01 15:45:00,1407.290495
2024-01-01 16:00:00,1370.621541
2024-01-01 16:15:00,1307.56001
2024-01-01 16:30:00,1350.702922
2024-01-01 16:45:00,1387.073722
2024-01-01 17:00:00,1421.915007
2024-01-01 17:15:00,1279.025326
2024-01-01 17:30:00,1268.64847
